ID#,State,LOT,Information[Bedroom],Type,Informative[Rooms],Built,Internet,Water,Information[Zestimate],SecMtg 2,SecMtgStat2,FamEmp 2,ChildAge 2,Language,Family,Grandparent,SSMC,English,Multigen,Move,Nchildren,Npersons Imputation,Partner,Under18,Over60,Over65,Workers 2,WkExp 2,WkStatus 2,Vehicles,HiValue,Validation
5244,42,1,2,2,6,3,1,700,165000,0,3,1,4,1,1,0,0,1,1,4,0,2,0,0,0,0,2,2,1,1,0,Training
5245,24,1,3,2,7,1,1,160,190000,0,3,1,9,1,1,0,0,1,1,2,9,9,0,0,0,0,2,2,1,2,0,Test
5246,42,2,3,2,6,7,1,2,167000,0,3,,,1,7,0,0,1,1,6,0,2.681096165,4,0,0,0,,,,3,0,Training
5247,24,3,6,2,10,4,3,2,2851000,0,,2,2,1,1,0,0,1,1,6,1,3,0,1,0,0,1,7,3,3,0,Test
5248,24,1,5,2,12,4,1,450,250000,0,3,,,1,4,0,0,1,1,4,0,2.974951736,0,0,0,0,,,,3,0,Training
5249,24,2,4,2,7,16,1,2,500000,0,3,1,3,1,1,0,0,1,1,3,2,4,0,1,0,0,2,1,1,2,1,Training
5250,42,1,3,3,7,1,1,2,159000,0,3,4,4,1,1,0,0,1,1,7,0,2,0,0,2,2,0,9,9,1,0,Test
5251,42,3,5,2,8,2,1,2,90000,0,,6,4,5,2,0,0,1,1,7,0,2,0,0,2,1,0,12,12,2,0,Training
5252,42,1,3,2,5,7,1,660,125000,,3,,,1,4,0,0,1,1,6,0,2.702234175,0,0,0,0,,,,3,0,Test
5253,24,1,3,2,8,5,1,2000,450000,0,3,1,4,4,1,0,0,1,1,6,0,2,0,0,2,1,2,1,1,3,1,Training
5254,42,1,2,2,5,3,1,40,250000,0,,,,1,4,0,0,1,1,7,0,2.204202671,0,0,1,1,,,,1,0,Validation
5255,42,1,2,1,10,7,1,1,35000,,3,1,3,1,1,0,0,1,1,5,3,5,0,1,0,0,2,2,1,2,0,Training
5256,24,1,3,2,13,8,1,600,375000,0,,8,4,1,3,0,0,1,1,3,0,3,0,0,2,1,1,15,15,2,0,Training
5257,42,,2,9,4,11,2,1,1813000,0,3,2,4,1,1,0,0,1,1,4,0,2,0,0,2,0,1,6,3,2,0,Training
5258,42,3,3,2,6,7,1,2,200000,0,,1,4,1,1,0,0,1,1,5,0,3,0,0,0,0,3,4,1,3,0,Test
5259,42,1,3.257647776,3,7.334741026,13,1,1200,278415.0643,0,3,1,3,3,1,0,0,1,1,4,2,7,0,1,0,0,2,5,5,2,0,Test
5260,42,2,3,2,7.334741026,7,1,2,80000,0,,1,2,1,1,0,0,1,1,5,1,5,0,1,0,0,3,1,1,5,0,Test
5261,42,2,4,2,7,7,1,2,155000,0,3,1,1,1,1,0,0,1,1,3,1,3,0,1,0,0,2,1,1,2,0,Training
5262,24,1,3,2,10,1,1,1000,140000,0,3,1,2,1,1,0,0,1,1,5,1,3,0,1,0,0,2,2,1,3,0,Training
5263,24,2,5,2,12,7,1,2,525000,0,3,1,2,1,1,0,0,1,1,6,1,3,0,1,0,0,2,4,4,2,0,Training
5264,42,1,3.257647776,2,7.334741026,4,1,750,278415.0643,0,,,,1,6,0,0,1,1,3,0,2.27385284,0,0,1,1,,,,0,0,Training
5265,42,1,3.257647776,2,7.334741026,1,1,740,278415.0643,0,,7,3,1,3,0,0,1,1,3,2,3,4,1,0,0,1,13,13,2,0,Training
5266,42,1,2,3,4,1,3,360,80000,0,,,,1,6,0,0,1,1,7,0,2.238542471,0,0,1,1,,,,1,0,Test
5267,24,1,2,1,5,7,2,210,50000,0,,,,1,6,0,0,1,1,6,0,2.224830466,0,0,0,0,,,,1,0,Training
5268,42,1,3.257647776,2,7.334741026,1,1,900,278415.0643,0,3,,,1,4,0,0,1,1,7,0,2.415609119,0,0,1,1,,,,1,0,Training
5269,10,1,3,2,9,7,1,2,289000,0,3,1,4,1,1,0,0,1,1,6,0,2,0,0,0,0,2,2,1,2,0,Training
5270,42,1,3,2,7,6,1,1000,120000,0,3,1,3,1,1,0,0,1,1,3,4,6,0,1,0,0,2,2,1,3,0,Validation
5271,42,1,3,2,5,1,3,800,65000,0,3,5,2,1,2,0,0,1,1,5,1,2,0,1,0,0,2,10,10,2,0,Validation
5272,42,1,4,2,7.334741026,3,1,3000,180000,0,3,1,2,1,1,0,0,1,1,4,2,4,0,1,0,0,2,4,1,3,0,Training
5273,42,2,4,2,8,1,2,340,300000,0,,2,4,1,1,0,0,1,1,7,0,2,0,0,2,2,1,6,3,3,0,Validation
5274,42,1,3.257647776,2,7.334741026,1,3,60,278415.0643,0,,4,4,1,1,0,0,1,1,5,0,2,0,0,2,2,0,9,9,1,0,Validation
5275,42,1,2,2,7,3,3,450,120000,0,,2,4,1,1,0,0,1,1,7,0,2,0,0,0,0,1,3,3,2,0,Test
5276,42,1,3,2,7,6,2,510,250000,0,3,1,4,1,1,0,0,1,1,4,0,2,0,0,0,0,2,5,1,2,0,Validation
5277,42,1,3,2,7.334741026,1,3,1000,284000,0,3,,,1,6,0,0,1,1,7,0,2.363084457,0,0,0,0,,,,1,0,Test
5278,10,1,4,2,8,1,1,1200,1000000,0,3,,,1,6,0,0,1,1,5,0,2.479683066,0,0,1,1,,,,1,0,Training
5279,42,2,4,2,7,7,1,2,205000,0,3,1,2,1,1,0,0,1,1,5,1,3,0,1,0,0,2,1,1,4,0,Training
5280,42,1,4,3,7,1,1,540,60000,0,3,2,2,2,1,0,0,1,1,6,2,4,0,1,0,0,2,3,3,2,0,Validation
5281,24,1,4,2,12,8,1,20,470000,0,3,1,3,1,1,0,0,1,1,3,2,4,0,1,0,0,2,4,1,2,1,Test
5282,42,1,3,3,7,1,1,840,80000,0,,,,1,4,0,0,1,1,7,0,2.389750524,0,0,1,1,,,,1,0,Training
5283,24,2,4,2,7,7,1,2,370000,0,3,1,3,1,1,0,0,1,1,2,2,4,0,1,0,0,2,1,1,2,0,Test
5284,42,2,3,2,6,1,1,2,220000,0,3,1,4,1,1,0,0,1,1,2,0,2,0,0,0,0,2,2,1,3,0,Training
5285,24,1,3,2,8,8,1,650,280000,0,3,1,4,1,1,0,0,1,1,4,0,2,0,0,2,1,2,2,1,4,1,Test
5286,42,2,4,2,9,1,3,2,300000,0,,,,1,6,0,0,1,1,7,9,9.159250484,0,0,1,1,,,,1,0,Test
5287,42,1,4,2,7,4,1,480,300000,1,1,7,4,1,3,0,0,1,1,7,0,2,0,0,2,2,2,14,13,2,0,Training
5288,42,1,3.257647776,1,7.334741026,5,1,1,278415.0643,0,,5,2,1,2,0,0,1,1,3,1,3,0,1,0,0,2,10,10,2,0,Training
5289,24,1,4,2,9,6,1,760,400000,0,3,2,2,1,1,0,0,1,1,4,1,5,0,1,0,0,1,7,3,3,0,Training
5290,42,1,3.257647776,2,7.334741026,3,1,530,278415.0643,0,,4,4,1,1,0,0,1,1,7,0,2,0,0,2,2,0,9,9,1,0,Validation
5291,42,1,2,2,5,1,1,700,120000,0,,,,1,6,0,0,1,1,5,9,8.841787047,0,0,1,1,,,,1,0,Training
5292,42,1,4,2,7,1,1,500,175000,1,2,,,1,6,0,0,1,1,4,0,2.581578894,0,0,1,0,,,,1,0,Validation
5293,24,2,3.257647776,3,7.334741026,3,2,1600,278415.0643,0,3,4,4,1,1,0,0,1,1,7,0,3,0,0,2,2,0,9,9,2,0,Training
5294,42,2,3,2,6,5,1,2,200000,0,,1,2,1,1,0,0,1,1,4,2,4,0,1,0,0,2,4,1,3,0,Test
5295,42,1,3.257647776,2,7.334741026,4,1,1000,278415.0643,0,3,1,3,1,1,0,0,1,1,4,2,4,0,1,0,0,2,4,1,1,0,Validation
5296,42,2,3,2,8,8,1,2,325000,1,2,1,2,1,1,0,0,1,1,5,1,4,0,1,0,0,3,1,1,3,1,Test
5297,42,2,2,2,4,1,3,2300,35000,0,,,,1,6,0,0,1,1,7,0,2.243183724,0,0,1,1,,,,1,0,Test
5298,42,1,3,3,7,3,1,720,130000,,,1,2,4,1,0,0,1,1,6,1,3,0,1,0,0,2,1,1,2,0,Test
5299,42,3,1,2,4,1,3,2,134000,0,3,3,4,1,1,0,0,1,1,6,0,2,0,0,2,1,1,6,7,2,0,Validation
5300,42,1,2,3,7,3,1,360,100000,0,3,,,1,6,0,0,1,1,4,0,2.186061171,0,0,0,0,,,,1,0,Test
5301,10,1,3,2,5,6,3,2,100000,0,,7,4,1,3,0,0,1,1,7,0,2,0,0,0,0,2,13,13,2,0,Test
5302,42,1,3,2,11,4,3,2,178000,0,,3,4,1,1,0,0,1,1,7,0,2,0,0,2,2,1,6,7,2,0,Validation
5303,42,1,4,2,9,1,1,70,70000,0,3,1,4,1,1,0,0,1,1,7,0,2,0,0,2,2,2,4,1,2,0,Validation
5304,10,1,3,2,5,7,1,30,250000,0,,4,4,1,1,0,0,1,1,5,0,2,0,0,2,2,0,9,9,2,0,Training
5305,10,1,3,2,7,5,1,480,200000,0,3,2,4,3,1,0,0,1,1,6,0,2,0,0,2,2,1,6,3,2,0,Training
5306,42,1,3,2,6,9,1,870,325000,1,2,2,2,3,1,0,0,1,1,5,2,4,0,1,0,0,1,7,3,1,1,Training
5307,42,1,3.257647776,3,7.334741026,2,3,840,278415.0643,0,3,6,4,3,2,0,0,1,1,1,0,2,0,0,1,1,1,12,12,2,0,Training
5308,42,1,3.257647776,2,7.334741026,1,3,90,278415.0643,1,2,,,1,6,0,0,1,1,6,0,2.27385284,0,0,1,1,,,,0,0,Training
5309,42,1,3.257647776,2,7.334741026,1,1,80,278415.0643,0,,6,4,1,2,0,0,1,1,7,0,2,0,0,1,1,1,12,12,2,0,Training
5310,42,1,3,2,8,1,1,1100,360000,0,3,1,1,1,1,0,0,1,1,4,2,4,0,1,0,0,2,2,1,2,1,Training
5311,42,1,3,2,7,5,1,180,275000,0,3,1,2,1,1,0,0,1,1,5,1,4,0,1,0,0,3,1,1,2,0,Training
5312,42,1,3,2,7,1,1,1100,90000,0,3,1,2,1,1,0,0,1,1,5,1,4,0,1,0,0,3,1,1,3,0,Test
5313,42,1,3.257647776,2,7.334741026,7,1,200,278415.0643,0,3,,,1,6,0,0,1,1,5,0,2.557365399,0,0,0,0,,,,2,0,Validation
5314,42,1,3,2,6,2,3,550,55000,0,,,,1,7,0,0,1,1,7,0,2.409135171,4,0,2,2,,,,1,0,Validation
5315,42,1,4,2,11,1,1,160,90000,0,3,1,4,1,1,0,0,1,1,5,0,3,0,0,0,0,3,1,1,4,0,Validation
5316,42,1,3,2,8,7,1,950,120000,0,3,4,4,1,1,0,0,1,1,5,0,2,0,0,2,2,0,9,9,2,0,Validation
5317,42,1,3,2,5,8,1,2,120000,,3,,,1,4,0,0,1,1,5,0,2.419237311,0,0,1,0,,,,1,0,Training
5318,42,1,4,2,9,7,1,900,430000,0,3,1,9,3,1,0,0,1,1,5,9,9,0,0,0,0,3,1,1,3,0,Training
